variant,wins,games,win_rate,ci_low,ci_high
reinforce_learning_rate_0.001,0,75,0.0,0.0,0.04872554590470005
reinforce_learning_rate_0.003,0,75,0.0,0.0,0.04872554590470005
reinforce_learning_rate_0.01,0,75,0.0,0.0,0.04872554590470005
reinforce_entropy_bonus_0.01,0,75,0.0,0.0,0.04872554590470005
reinforce_entropy_bonus_0.001,0,75,0.0,0.0,0.04872554590470005
reinforce_episodes_per_epoch_4,0,75,0.0,0.0,0.04872554590470005
reinforce_episodes_per_epoch_16,0,75,0.0,0.0,0.04872554590470005
ppo_learning_rate_0.001,0,75,0.0,0.0,0.04872554590470005
ppo_learning_rate_0.003,0,75,0.0,0.0,0.04872554590470005
ppo_learning_rate_0.01,0,75,0.0,0.0,0.04872554590470005
ppo_entropy_bonus_0.01,0,75,0.0,0.0,0.04872554590470005
ppo_entropy_bonus_0.001,0,75,0.0,0.0,0.04872554590470005
ppo_episodes_per_epoch_4,0,75,0.0,0.0,0.04872554590470005
ppo_episodes_per_epoch_16,4,75,0.05333333333333334,0.020933088960043124,0.1292617320481556
