game_id,day,tick,victim_id,victim_name,victim_district,victim_training_score,method,weapon,killer_id,killer_name,x,y,placement
0,3,55,14,D8 Female,8,9,player_vs_player,fists,11.0,D6 Male,66,3,24
0,3,56,5,D3 Male,3,5,player_vs_player,fists,7.0,D4 Male,118,27,23
0,3,68,10,D6 Female,6,5,player_vs_player,fists,13.0,D7 Male,119,56,22
0,4,75,20,D11 Female,11,4,player_vs_player,fists,22.0,D12 Female,14,58,21
0,4,91,11,D6 Male,6,6,natural_causes,untreated wound,,,61,5,20
0,5,107,13,D7 Male,7,5,player_vs_player,fists,7.0,D4 Male,113,34,19
0,5,115,0,D1 Female,1,9,natural_causes,dehydration,,,9,4,18
0,5,115,21,D11 Male,11,3,natural_causes,dehydration,,,28,28,17
0,5,117,19,D10 Male,10,5,player_vs_player,fists,9.0,D5 Male,60,103,16
0,6,122,22,D12 Female,12,4,natural_causes,untreated wound,,,14,51,15
0,6,132,17,D9 Male,9,6,player_vs_player,fists,2.0,D2 Female,64,13,14
0,6,133,3,D2 Male,2,4,player_vs_player,fists,9.0,D5 Male,54,92,13
0,6,138,15,D8 Male,8,4,player_vs_player,spear,1.0,D1 Male,33,73,12
0,8,176,12,D7 Female,7,7,player_vs_player,fists,2.0,D2 Female,47,0,11
0,8,188,23,D12 Male,12,5,player_vs_player,spear,9.0,D5 Male,64,87,10
0,10,224,16,D9 Female,9,8,player_vs_player,spear,9.0,D5 Male,81,108,9
0,14,318,6,D4 Female,4,7,natural_causes,dehydration,,,34,65,8
0,14,324,18,D10 Female,10,7,natural_causes,dehydration,,,41,41,7
0,14,326,4,D3 Female,3,4,natural_causes,dehydration,,,34,65,6
0,16,372,7,D4 Male,4,5,player_vs_player,spear,8.0,D5 Female,65,49,5
0,16,373,8,D5 Female,5,8,player_vs_player,bow,1.0,D1 Male,64,51,4
0,17,389,2,D2 Female,2,8,player_vs_player,bow,1.0,D1 Male,74,63,3
0,19,439,1,D1 Male,1,7,player_vs_player,spear,9.0,D5 Male,60,60,2
1,2,32,3,D2 Male,2,8,player_vs_player,fists,13.0,D7 Male,54,105,24
1,2,44,12,D7 Female,7,8,player_vs_player,fists,22.0,D12 Female,24,107,23
1,3,58,14,D8 Female,8,7,player_vs_player,fists,8.0,D5 Female,37,0,22
1,4,72,2,D2 Female,2,6,natural_causes,dehydration,,,115,49,21
1,4,75,0,D1 Female,1,6,player_vs_player,fists,16.0,D9 Female,112,1,20
1,4,81,6,D4 Female,4,10,player_vs_player,fists,8.0,D5 Female,24,0,19
1,4,81,11,D6 Male,6,1,player_vs_player,knife,15.0,D8 Male,47,40,18
1,5,100,5,D3 Male,3,6,player_vs_player,fists,10.0,D6 Female,118,103,17
1,5,105,20,D11 Female,11,1,player_vs_player,fists,18.0,D10 Female,16,34,16
1,5,115,17,D9 Male,9,3,player_vs_player,fists,18.0,D10 Female,12,36,15
1,6,130,1,D1 Male,1,6,player_vs_player,fists,23.0,D12 Male,119,53,14
1,6,134,22,D12 Female,12,5,natural_causes,dehydration,,,28,117,13
1,7,147,16,D9 Female,9,10,natural_causes,untreated wound,,,110,1,12
1,8,186,4,D3 Female,3,7,player_vs_player,fists,8.0,D5 Female,61,6,11
1,9,207,15,D8 Male,8,8,player_vs_player,spear,7.0,D4 Male,59,27,10
1,10,216,8,D5 Female,5,7,natural_causes,dehydration,,,51,16,9
