game_id,seed,days,ticks,winner_id,winner_name,interventions
0,1000,19,440,9.0,D5 Male,6
1,1001,20,467,21.0,D11 Male,6
2,1002,20,465,23.0,D12 Male,6
3,1003,16,367,23.0,D12 Male,6
4,1004,18,412,20.0,D11 Female,6
5,1005,22,509,15.0,D8 Male,8
6,1006,17,384,13.0,D7 Male,6
7,1007,18,420,12.0,D7 Female,5
8,1008,19,454,18.0,D10 Female,5
9,1009,21,481,3.0,D2 Male,7
10,1010,18,416,2.0,D2 Female,6
11,1011,20,457,4.0,D3 Female,5
12,1012,19,437,16.0,D9 Female,7
13,1013,17,392,7.0,D4 Male,8
14,1014,17,406,5.0,D3 Male,5
15,1015,17,388,10.0,D6 Female,7
16,1016,18,423,5.0,D3 Male,7
17,1017,17,406,11.0,D6 Male,5
18,1018,16,372,12.0,D7 Female,5
19,1019,18,428,22.0,D12 Female,6
20,1020,18,416,,,6
21,1021,17,405,10.0,D6 Female,7
22,1022,19,449,1.0,D1 Male,5
23,1023,17,396,2.0,D2 Female,6
24,1024,17,394,12.0,D7 Female,8
25,1025,19,443,3.0,D2 Male,7
26,1026,20,456,16.0,D9 Female,6
27,1027,19,434,19.0,D10 Male,5
28,1028,22,504,0.0,D1 Female,5
29,1029,21,481,6.0,D4 Female,6
30,1030,18,416,17.0,D9 Male,6
31,1031,18,431,7.0,D4 Male,7
32,1032,16,369,10.0,D6 Female,8
33,1033,19,446,1.0,D1 Male,6
34,1034,19,451,8.0,D5 Female,8
35,1035,18,417,14.0,D8 Female,8
36,1036,17,404,10.0,D6 Female,4
37,1037,15,358,22.0,D12 Female,6
38,1038,19,443,13.0,D7 Male,7
39,1039,18,429,11.0,D6 Male,8
40,1040,17,386,11.0,D6 Male,7
41,1041,19,432,17.0,D9 Male,5
42,1042,19,437,17.0,D9 Male,7
43,1043,15,353,10.0,D6 Female,4
44,1044,19,453,17.0,D9 Male,6
45,1045,17,406,12.0,D7 Female,5
46,1046,18,415,15.0,D8 Male,7
47,1047,20,464,3.0,D2 Male,6
48,1048,19,441,16.0,D9 Female,8
49,1049,17,392,6.0,D4 Female,7
50,1050,19,439,1.0,D1 Male,7
51,1051,20,466,4.0,D3 Female,7
52,1052,19,436,1.0,D1 Male,6
53,1053,19,450,6.0,D4 Female,6
54,1054,17,404,16.0,D9 Female,5
55,1055,18,408,14.0,D8 Female,5
56,1056,19,444,0.0,D1 Female,5
57,1057,20,478,13.0,D7 Male,7
58,1058,17,391,19.0,D10 Male,5
59,1059,17,398,4.0,D3 Female,8
60,1060,15,338,2.0,D2 Female,8
61,1061,18,416,10.0,D6 Female,8
62,1062,21,497,4.0,D3 Female,6
63,1063,20,463,3.0,D2 Male,7
64,1064,20,460,18.0,D10 Female,6
65,1065,21,481,0.0,D1 Female,7
66,1066,17,406,16.0,D9 Female,5
67,1067,20,461,21.0,D11 Male,6
68,1068,21,485,16.0,D9 Female,6
69,1069,21,487,11.0,D6 Male,6
70,1070,20,475,11.0,D6 Male,8
71,1071,19,445,19.0,D10 Male,5
72,1072,18,417,,,6
73,1073,18,423,0.0,D1 Female,9
74,1074,19,438,20.0,D11 Female,6
75,1075,17,396,13.0,D7 Male,5
76,1076,17,407,21.0,D11 Male,6
77,1077,18,427,16.0,D9 Female,8
78,1078,21,502,13.0,D7 Male,7
79,1079,19,450,21.0,D11 Male,5
80,1080,22,506,2.0,D2 Female,7
81,1081,21,496,16.0,D9 Female,5
82,1082,20,466,15.0,D8 Male,7
83,1083,18,418,7.0,D4 Male,7
84,1084,20,462,8.0,D5 Female,7
85,1085,18,418,2.0,D2 Female,6
86,1086,18,429,23.0,D12 Male,8
87,1087,19,434,14.0,D8 Female,6
88,1088,21,498,9.0,D5 Male,7
89,1089,20,456,22.0,D12 Female,8
90,1090,18,418,21.0,D11 Male,5
91,1091,18,423,1.0,D1 Male,6
92,1092,18,426,19.0,D10 Male,7
93,1093,17,395,13.0,D7 Male,7
94,1094,17,403,20.0,D11 Female,7
95,1095,18,430,11.0,D6 Male,7
96,1096,18,430,0.0,D1 Female,7
97,1097,17,387,14.0,D8 Female,7
