game_id,player_id,name,district,sex,training_score,survival_score,brain,favor,gifts_received,placement,kills,days_survived,cause_of_death,alive_at_end
0,0,D1 Female,1,F,9,0.5153757785709134,voting,0.625,1,18,0,4.791666666666667,dehydration,False
0,1,D1 Male,1,M,7,0.6725212905332884,voting,0.6216666666666667,0,2,3,18.291666666666668,spear,False
0,2,D2 Female,2,F,8,0.7778409591774579,voting,0.7433333333333333,1,3,2,16.208333333333332,bow,False
0,3,D2 Male,2,M,4,0.522658517339741,voting,0.41666666666666663,0,13,0,5.541666666666667,fists,False
0,4,D3 Female,3,F,4,0.27852622324588205,voting,0.16666666666666666,0,6,0,13.583333333333334,dehydration,False
0,5,D3 Male,3,M,5,0.2808347318777632,voting,0.20833333333333334,0,23,0,2.3333333333333335,fists,False
0,6,D4 Female,4,F,7,0.47358044332993393,voting,0.5416666666666667,0,8,0,13.25,dehydration,False
0,7,D4 Male,4,M,5,0.36052535196301816,voting,0.45833333333333337,0,5,2,15.5,spear,False
0,8,D5 Female,5,F,8,0.5580321662430987,voting,0.3333333333333333,0,4,1,15.541666666666666,bow,False
0,9,D5 Male,5,M,8,0.7617868540739563,voting,0.3333333333333333,0,1,5,18.333333333333332,,True
0,10,D6 Female,6,F,5,0.3034365151290984,voting,0.20833333333333334,1,22,0,2.8333333333333335,fists,False
0,11,D6 Male,6,M,6,0.6249614200169846,voting,0.33,0,20,1,3.7916666666666665,untreated wound,False
0,12,D7 Female,7,F,7,0.6645780873171845,voting,0.2916666666666667,1,11,0,7.333333333333333,fists,False
0,13,D7 Male,7,M,5,0.39710419107283645,voting,0.28833333333333333,0,19,1,4.458333333333333,fists,False
0,14,D8 Female,8,F,9,0.49715742433840304,voting,0.375,0,24,0,2.2916666666666665,fists,False
0,15,D8 Male,8,M,4,0.21687710996238238,voting,0.16666666666666666,0,12,0,5.75,spear,False
0,16,D9 Female,9,F,8,0.5402898483853928,voting,0.3333333333333333,1,9,0,9.333333333333334,spear,False
0,17,D9 Male,9,M,6,0.6224808316260333,voting,0.25,0,14,0,5.5,fists,False
0,18,D10 Female,10,F,7,0.5491298501286144,voting,0.2916666666666667,0,7,0,13.5,dehydration,False
0,19,D10 Male,10,M,5,0.540729185800036,voting,0.20833333333333334,0,16,0,4.875,fists,False
0,20,D11 Female,11,F,4,0.38257986119443077,voting,0.16666666666666666,0,21,0,3.125,fists,False
0,21,D11 Male,11,M,3,0.46690814663527,voting,0.125,1,17,0,4.791666666666667,dehydration,False
0,22,D12 Female,12,F,4,0.25202326635230393,voting,0.24666666666666665,0,15,1,5.083333333333333,untreated wound,False
0,23,D12 Male,12,M,5,0.2775320670950283,voting,0.20833333333333334,0,10,0,7.833333333333333,spear,False
1,0,D1 Female,1,F,6,0.4000158807296675,voting,0.5,1,20,0,3.125,fists,False
1,1,D1 Male,1,M,6,0.5212717649147275,voting,0.5,1,14,0,5.416666666666667,fists,False
1,2,D2 Female,2,F,6,0.6583833191593733,voting,0.5,0,21,0,3.0,dehydration,False
1,3,D2 Male,2,M,8,0.48015294861136437,voting,0.5833333333333333,0,24,0,1.3333333333333333,fists,False
1,4,D3 Female,3,F,7,0.5285683795037724,voting,0.2916666666666667,0,11,0,7.75,fists,False
1,5,D3 Male,3,M,6,0.41060063987324014,voting,0.25,0,17,0,4.166666666666667,fists,False
1,6,D4 Female,4,F,10,0.6536353265733253,voting,0.6666666666666667,1,19,0,3.375,fists,False
1,7,D4 Male,4,M,5,0.5664589890494462,voting,0.45833333333333337,0,2,3,19.416666666666668,spear,False
1,8,D5 Female,5,F,7,0.722938023864562,voting,0.5316666666666667,0,9,3,9.0,dehydration,False
1,9,D5 Male,5,M,4,0.40027713017615824,voting,0.16666666666666666,0,5,0,16.458333333333332,bow,False
1,10,D6 Female,6,F,6,0.5985553721131016,voting,0.25,0,6,2,13.166666666666666,rock,False
1,11,D6 Male,6,M,1,0.18387594976805482,voting,0.041666666666666664,0,18,0,3.375,knife,False
1,12,D7 Female,7,F,8,0.6110246077216464,voting,0.3333333333333333,0,23,0,1.8333333333333333,fists,False
